cnum,x,y
1221,5840,5193
1222,5840,5192
1223,5838,5192
1224,5838,5193
1225,5835,5193
1226,5835,5195
1227,5834,5195
1228,5834,5194
1229,5833,5194
1230,5833,5195
1231,5832,5195
1232,5832,5194
1233,5831,5194
1234,5831,5195
1235,5829,5195
1236,5829,5194
1237,5824,5194
1238,5824,5193
1239,5822,5193
1240,5822,5194
1241,5820,5194
1242,5820,5195
1243,5818,5195
1244,5818,5194
1245,5815,5194
1246,5815,5195
1247,5816,5195
1248,5816,5197
1249,5815,5197
1250,5815,5195
1251,5814,5195
1252,5814,5196
1253,5813,5196
1254,5813,5195
1255,5814,5195
1256,5814,5194
1257,5812,5194
1258,5812,5195
1259,5809,5195
1260,5809,5196
1261,5807,5196
1262,5807,5197
1263,5806,5197
1264,5806,5196
1265,5805,5196
1266,5805,5197
1267,5804,5197
1268,5804,5196
1269,5802,5196
1270,5802,5198
1271,5801,5198
1272,5801,5197
1273,5800,5197
1274,5800,5198
1275,5799,5198
1276,5799,5200
1277,5797,5200
1278,5797,5201
1279,5796,5201
1280,5796,5200
1281,5797,5200
1282,5797,5199
1283,5796,5199
1284,5796,5198
1285,5795,5198
1286,5795,5197
1287,5794,5197
1288,5794,5198
1289,5793,5198
1290,5793,5199
1291,5792,5199
1292,5792,5200
1293,5791,5200
1294,5791,5201
1295,5790,5201
1296,5790,5199
1297,5789,5199
1298,5789,5198
1299,5787,5198
1300,5787,5200
1301,5786,5200
1302,5786,5199
1303,5784,5199
1304,5784,5198
1305,5783,5198
1306,5783,5199
1307,5782,5199
1308,5782,5198
1309,5779,5198
1310,5779,5199
1311,5777,5199
1312,5777,5198
1313,5776,5198
1314,5776,5200
1315,5775,5200
1316,5775,5199
1317,5774,5199
1318,5774,5200
1319,5769,5200
1320,5769,5201
1321,5768,5201
1322,5768,5202
1323,5767,5202
1324,5767,5201
1325,5766,5201
1326,5766,5202
1327,5763,5202
1328,5763,5203
1329,5762,5203
1330,5762,5204
1331,5761,5204
1332,5761,5205
1333,5760,5205
1334,5760,5206
1335,5758,5206
1336,5758,5208
1337,5757,5208
1338,5757,5209
1339,5756,5209
1340,5756,5210
1341,5755,5210
1342,5755,5211
1343,5756,5211
1344,5756,5212
1345,5755,5212
1346,5755,5211
1347,5754,5211
1348,5754,5212
1349,5753,5212
1350,5753,5213
1351,5751,5213
1352,5751,5214
1353,5754,5214
1354,5754,5215
1355,5752,5215
1356,5752,5216
1357,5753,5216
1358,5753,5217
1359,5754,5217
1360,5754,5218
1361,5753,5218
1362,5753,5219
1363,5752,5219
1364,5752,5218
1365,5753,5218
1366,5753,5217
1367,5751,5217
1368,5751,5218
1369,5749,5218
1370,5749,5219
1371,5748,5219
1372,5748,5221
1373,5747,5221
1374,5747,5220
1375,5746,5220
1376,5746,5221
1377,5745,5221
1378,5745,5223
1379,5746,5223
1380,5746,5225
1381,5745,5225
1382,5745,5223
1383,5740,5223
1384,5740,5224
1385,5739,5224
1386,5739,5225
1387,5738,5225
1388,5738,5224
1389,5737,5224
1390,5737,5227
1391,5735,5227
1392,5735,5229
1393,5734,5229
1394,5734,5228
1395,5733,5228
1396,5733,5227
1397,5732,5227
1398,5732,5229
1399,5731,5229
1400,5731,5227
1401,5728,5227
1402,5728,5228
1403,5730,5228
1404,5730,5229
1405,5727,5229
1406,5727,5230
1407,5729,5230
1408,5729,5231
1409,5728,5231
1410,5728,5232
1411,5727,5232
1412,5727,5230
1413,5723,5230
1414,5723,5231
1415,5724,5231
1416,5724,5232
1417,5723,5232
